date,NINO,APORTES
2000-01-01,-1.79,884.252935483871
2000-02-01,-1.53,981.5983793103449
2000-03-01,-1.26,1088.701935483871
2000-04-01,-0.8,998.995
2000-05-01,-0.8,1723.73
2000-06-01,-0.75,1375.755
2000-07-01,-0.57,1126.2835483870967
2000-08-01,-0.36,1248.443225806452
2000-09-01,-0.39,1118.5696666666663
2000-10-01,-0.55,977.8412903225806
2000-11-01,-0.75,1048.7816666666668
2000-12-01,-0.92,783.619696394687
2001-01-01,-0.88,539.6709677419356
2001-02-01,-0.63,487.2446428571429
2001-03-01,-0.48,792.7690322580645
2001-04-01,-0.3,732.1716666666665
2001-05-01,-0.3,1082.5441935483868
2001-06-01,-0.11,1367.031
2001-07-01,0.01,1059.5283870967744
2001-08-01,-0.07,1115.2525806451613
2001-09-01,-0.28,935.697
2001-10-01,-0.26,781.3164516129032
2001-11-01,-0.28,1052.345
2001-12-01,-0.46,1615.1581451612903
2002-01-01,-0.14,730.72
2002-02-01,0.0,527.3714285714286
2002-03-01,0.11,826.8264516129032
2002-04-01,0.14,1696.4249999999995
2002-05-01,0.21,1805.1361290322584
2002-06-01,0.68,2371.3666666666663
2002-07-01,0.57,1857.036451612903
2002-08-01,0.7,1692.191935483871
2002-09-01,0.82,1264.928666666667
2002-10-01,1.16,1299.9512903225807
2002-11-01,1.41,1301.1443000000002
2002-12-01,1.41,1139.8666774193548
2003-01-01,0.98,600.1815774193548
2003-02-01,0.64,603.3608714285713
2003-03-01,0.48,785.6370741935484
2003-04-01,-0.03,1424.8493
2003-05-01,-0.52,1994.2841290322576
2003-06-01,-0.19,1857.6583666666663
2003-07-01,0.14,1897.6686774193545
2003-08-01,0.05,1440.5006451612903
2003-09-01,0.15,1513.048633333333
2003-10-01,0.46,1887.5750322580643
2003-11-01,0.39,1812.5325
2003-12-01,0.32,1582.1754838709678
2004-01-01,0.26,1015.2290322580644
2004-02-01,0.17,659.2813793103448
2004-03-01,-0.1,800.4751612903226
2004-04-01,0.06,1472.6887
2004-05-01,0.1,1908.7633548387096
2004-06-01,0.14,2278.093666666666
2004-07-01,0.41,1771.4392903225803
2004-08-01,0.66,1732.333677419355
2004-09-01,0.67,1458.7115333333334
2004-10-01,0.73,1614.561
2004-11-01,0.62,2066.932866666667
2004-12-01,0.71,1447.663935483871
2005-01-01,0.56,1077.8112903225806
2005-02-01,0.26,1237.593357142857
2005-03-01,0.28,1031.7641935483873
2005-04-01,0.28,1538.7875
2005-05-01,0.3,1968.1382903225808
2005-06-01,0.22,1966.199933333333
2005-07-01,-0.01,1538.096
2005-08-01,-0.04,1546.745
2005-09-01,-0.08,1523.8857
2005-10-01,-0.15,1980.7044193548384
2005-11-01,-0.44,2237.3164666666667
2005-12-01,-0.75,1614.0878709677422
2006-01-01,-0.98,1260.4601935483872
2006-02-01,-0.71,1094.8345714285715
2006-03-01,-0.73,1675.753806451613
2006-04-01,-0.3,2125.725966666667
2006-05-01,-0.11,2339.684967741936
2006-06-01,0.09,2363.2664
2006-07-01,0.03,1935.0271612903225
2006-08-01,0.37,1425.2477096774192
2006-09-01,0.62,1361.7676666666669
2006-10-01,0.76,1617.1746129032258
2006-11-01,0.98,2078.0477
2006-12-01,1.1,1831.2145483870968
2007-01-01,0.59,1054.0819032258064
2007-02-01,0.12,616.6976785714285
2007-03-01,-0.15,1021.9474838709676
2007-04-01,-0.16,2018.8129666666664
2007-05-01,-0.39,2465.4943870967745
2007-06-01,-0.16,2818.833433333334
2007-07-01,-0.37,1846.6435806451611
2007-08-01,-0.57,1864.719419354839
2007-09-01,-1.04,1634.8998666666666
2007-10-01,-1.41,2286.0155161290327
2007-11-01,-1.58,2187.953733333333
2007-12-01,-1.61,1858.0136129032253
2008-01-01,-1.79,1245.6737096774193
2008-02-01,-1.7,1391.271068965517
2008-03-01,-1.17,1404.5013225806451
2008-04-01,-0.89,1564.9079
2008-05-01,-0.64,2355.672225806452
2008-06-01,-0.44,2484.3070666666667
2008-07-01,-0.04,2648.9030967741937
2008-08-01,-0.04,1896.3888387096777
2008-09-01,-0.28,1754.9332333333334
2008-10-01,-0.3,2065.3105806451613
2008-11-01,-0.37,2609.8831
2008-12-01,-0.9,1821.6802258064515
2009-01-01,-1.0,1638.175548387097
2009-02-01,-0.71,1422.5435000000002
2009-03-01,-0.72,1821.467129032258
2009-04-01,-0.25,1757.3179
2009-05-01,0.17,1753.2455483870967
2009-06-01,0.49,1933.696333333333
2009-07-01,0.69,1964.0463548387097
2009-08-01,0.62,1660.5015806451613
2009-09-01,0.68,1118.3246
2009-10-01,0.96,1242.8113548387096
2009-11-01,1.49,1524.3416666666667
2009-12-01,1.81,953.598741935484
2010-01-01,1.43,531.9025483870969
2010-02-01,1.18,556.6923571428572
2010-03-01,1.07,778.5531290322581
2010-04-01,0.56,1527.9917666666663
2010-05-01,-0.15,1837.990419354839
2010-06-01,-0.62,1980.9497
2010-07-01,-0.89,2188.378387096774
2010-08-01,-1.33,1757.992483870968
2010-09-01,-1.56,1801.1704333333332
2010-10-01,-1.65,1712.6432258064517
2010-11-01,-1.57,2827.9955
2010-12-01,-1.63,2388.1683870967745
2011-01-01,-1.7,1266.9142980030722
2011-02-01,-1.26,1213.5605714285714
2011-03-01,-0.98,1753.670548387097
2011-04-01,-0.74,3061.683433333333
2011-05-01,-0.53,2736.952806451613
2011-06-01,-0.25,2265.8721333333337
2011-07-01,-0.23,2088.7333548387096
2011-08-01,-0.66,1546.916516129032
2011-09-01,-0.76,1607.1403333333333
2011-10-01,-0.93,1932.830548387097
2011-11-01,-1.09,2511.3066
2011-12-01,-1.05,2928.7986129032256
2012-01-01,-0.93,1798.5300645161287
2012-02-01,-0.61,1171.9528965517238
2012-03-01,-0.48,1443.515483870968
2012-04-01,-0.29,2460.5596
2012-05-01,-0.18,2284.874064516129
2012-06-01,0.14,1671.2307
2012-07-01,0.44,1782.52835483871
2012-08-01,0.66,1703.235193548387
2012-09-01,0.44,1241.9978
2012-10-01,0.23,1528.5186129032256
2012-11-01,0.33,1420.1212666666668
2012-12-01,-0.13,1236.031258064516
2013-01-01,-0.42,676.5885483870968
2013-02-01,-0.4,1086.8696071428571
2013-03-01,-0.14,1428.042870967742
2013-04-01,-0.08,1252.7266333333332
2013-05-01,-0.28,2116.575129032258
2013-06-01,-0.33,1682.1890666666668
2013-07-01,-0.28,1773.319032258065
2013-08-01,-0.29,1970.1819677419355
2013-09-01,-0.09,1683.2705666666668
2013-10-01,-0.24,1522.357
2013-11-01,-0.02,1827.243066666667
2013-12-01,-0.09,1746.0773870967744
2014-01-01,-0.42,1161.8111483870966
2014-02-01,-0.45,1093.6711071428572
2014-03-01,-0.07,1496.170677419355
2014-04-01,0.28,1320.3758999999998
2014-05-01,0.45,1907.3695161290325
2014-06-01,0.48,2184.5538
2014-07-01,0.13,1987.1051935483872
2014-08-01,0.14,1674.675548387097
2014-09-01,0.37,1515.8703333333333
2014-10-01,0.48,1677.7811612903222
2014-11-01,0.89,1774.155733333333
2014-12-01,0.77,1730.7474193548387
2015-01-01,0.59,969.7379677419356
2015-02-01,0.57,1347.2359642857143
2015-03-01,0.48,1358.9537419354838
2015-04-01,0.9,2160.7005666666664
2015-05-01,1.04,1807.049387096774
2015-06-01,1.28,2792.5063
2015-07-01,1.56,2243.576129032258
2015-08-01,1.87,1992.9990967741933
2015-09-01,2.01,1385.5212
2015-10-01,2.21,1445.8007530589546
2015-11-01,2.57,1857.4735714285712
2015-12-01,2.56,1020.3919032258062
2016-01-01,2.56,664.3672903225806
2016-02-01,2.11,677.4757931034484
2016-03-01,1.6,905.4082903225806
2016-04-01,1.05,1709.715666666667
2016-05-01,0.45,2302.070612903225
2016-06-01,0.06,2284.365
2016-07-01,-0.25,2521.2563870967742
2016-08-01,-0.48,1790.378
2016-09-01,-0.46,1872.18178
2016-10-01,-0.75,2056.500258064516
2016-11-01,-0.63,2541.3882000000003
2016-12-01,-0.51,2301.839225806452
2017-01-01,-0.34,1832.5689032258067
2017-02-01,-0.01,1025.0955714285717
2017-03-01,-0.09,2388.534516129032
2017-04-01,0.22,2379.837933333333
2017-05-01,0.3,3518.2752903225805
2017-06-01,0.22,2942.7496999999994
2017-07-01,0.22,2631.544838709677
2017-08-01,-0.18,1989.6791612903228
2017-09-01,-0.56,1971.3187
2017-10-01,-0.52,1914.319322580645
2017-11-01,-0.84,2510.2773
2017-12-01,-0.85,1724.362548387097
2018-01-01,-0.86,1586.4978387096787
2018-02-01,-0.73,1177.019857142856
2018-03-01,-0.73,1202.1032580645158
2018-04-01,-0.36,2570.234033333333
2018-05-01,-0.12,3820.630774193553
2018-06-01,0.12,3040.0446000000006
2018-07-01,0.27,2547.969700000001
2018-08-01,0.05,2083.3509999999987
2018-09-01,0.3,1778.903733333333
2018-10-01,0.84,2499.817225806452
2018-11-01,1.0,2623.756343333333
2018-12-01,0.97,1347.3410419354827
2019-01-01,0.51,892.5152580645167
2019-02-01,0.62,1031.5502500000002
2019-03-01,0.81,1433.3744516129038
2019-04-01,0.67,2445.827600000001
2019-05-01,0.61,2841.5936129032266
2019-06-01,0.66,2970.455133333334
2019-07-01,0.41,2212.338193548388
2019-08-01,0.19,1842.827064516128
2019-09-01,0.11,1451.5346666666674
2019-10-01,0.55,2124.0683870967746
2019-11-01,0.74,2228.1345666666675
2019-12-01,0.51,1667.9533225806451
2020-01-01,0.64,1037.3010645161291
2020-02-01,0.48,893.0868620689662
2020-03-01,0.36,1074.797064516129
2020-04-01,0.49,1397.1515000000004
2020-05-01,-0.12,1790.5726129032262
2020-06-01,-0.21,2163.0873333333334
2020-07-01,-0.04,2610.4749310344823
2020-08-01,-0.42,2153.7460967741927
2020-09-01,-0.66,1921.3333666666672
2020-10-01,-1.19,1908.2226774193543
2020-11-01,-1.01,2686.028766666665
2020-12-01,-0.98,1932.759
2021-01-01,-1.04,1480.5677741935478
2021-02-01,-0.94,1250.2611071428564
2021-03-01,-0.72,2347.8868709677413
2021-04-01,-0.55,2347.1484333333337
2021-05-01,-0.41,3297.747967741934
2021-06-01,-0.06,3414.5190666666667
2021-07-01,-0.2,2665.2290645161297
2021-08-01,-0.38,2584.940225806452
2021-09-01,-0.5,2340.6226666666657
2021-10-01,-0.78,2590.2717096774204
2021-11-01,-0.88,2670.894766666667
2021-12-01,-1.07,1872.876285714285
2022-01-01,-0.77,1337.944433333333
2022-02-01,-0.68,1587.7972592592598
2022-03-01,-0.84,2552.5889677419364
2022-04-01,-0.9,3088.583466666667
2022-05-01,-1.02,3047.235
2022-06-01,-0.77,3365.4965000000007
2022-07-01,-0.56,3106.7237741935496
2022-08-01,-0.96,2574.386258064515
2022-09-01,-1.06,2570.3877000000007
2022-10-01,-0.99,4771.493364809388
2022-11-01,-0.76,5128.196203333336
2022-12-01,-0.86,3182.274167741931
2023-01-01,-0.78,3137.098754838709
2023-02-01,-0.62,1926.3371607142851
2023-03-01,-0.13,3788.324403225809
2023-04-01,0.24,3546.6286166666678
2023-05-01,0.47,3214.529541935484
2023-06-01,0.95,3159.6192766666686
2023-07-01,1.2,2782.8150296187705
2023-08-01,1.56,2320.7786935483864
2023-09-01,1.65,1516.9987000000003
2023-10-01,1.59,2202.754161290324
2023-11-01,2.01,3107.8672333333334
2023-12-01,1.81,1725.0416774193543
2024-01-01,1.71,1090.0496451612903
2024-02-01,1.47,1156.7816551724138
2024-03-01,1.1,943.4972903225804
2024-04-01,0.93,1983.6035333333327
2024-05-01,0.41,4057.1681290322554
2024-06-01,0.25,4482.064633333329
2024-07-01,0.2,3257.87129032258
2024-08-01,0.02,2065.783580645161
2024-09-01,-0.11,1681.819566666667
2024-10-01,-0.24,2162.8413548387102
2024-11-01,-0.05,3285.768633333333
2024-12-01,-0.58,2205.490967741937
