date,AportesEnergia
2000-01-01,105592211.1111111
2000-02-01,110757544.44444445
2000-03-01,125186700.0
2000-04-01,134980622.2222222
2000-05-01,267661166.66666666
2000-06-01,271642366.6666667
2000-07-01,263833182.3529412
2000-08-01,247242511.1111111
2000-09-01,249839066.66666666
2000-10-01,208389322.2222222
2000-11-01,184475133.33333334
2000-12-01,108737680.0
2001-01-01,72361352.38095239
2001-02-01,55238357.14285714
2001-03-01,91997519.04761904
2001-04-01,94512200.0
2001-05-01,176018090.47619048
2001-06-01,196838328.57142857
2001-07-01,177234085.7142857
2001-08-01,176078766.66666666
2001-09-01,161459780.95238096
2001-10-01,133942052.38095239
2001-11-01,157685095.23809522
2001-12-01,140881691.3043478
2002-01-01,74753265.2173913
2002-02-01,55656134.782608695
2002-03-01,91052178.26086956
2002-04-01,173959313.04347825
2002-05-01,207348330.4347826
2002-06-01,274762369.5652174
2002-07-01,206436221.73913044
2002-08-01,195789195.6521739
2002-09-01,135227330.4347826
2002-10-01,127786786.95652173
2002-11-01,123802008.69565217
2002-12-01,94326962.5
2003-01-01,48869779.166666664
2003-02-01,49381441.666666664
2003-03-01,81381404.16666667
2003-04-01,154008654.16666666
2003-05-01,218973754.16666666
2003-06-01,200691520.83333334
2003-07-01,185736825.0
2003-08-01,163599004.16666666
2003-09-01,146319195.83333334
2003-10-01,188355570.83333334
2003-11-01,164929058.33333334
2003-12-01,143975700.0
2004-01-01,87233629.16666667
2004-02-01,65133979.166666664
2004-03-01,98161545.83333333
2004-04-01,150870845.83333334
2004-05-01,242843583.33333334
2004-06-01,267010204.16666666
2004-07-01,214961470.83333334
2004-08-01,195215016.66666666
2004-09-01,170842675.0
2004-10-01,188585362.5
2004-11-01,210922087.5
2004-12-01,123637775.0
2005-01-01,92736425.0
2005-02-01,83554508.33333333
2005-03-01,79371850.0
2005-04-01,145371800.0
2005-05-01,234081370.83333334
2005-06-01,201853541.66666666
2005-07-01,147502629.16666666
2005-08-01,162904325.0
2005-09-01,171338162.5
2005-10-01,200041612.5
2005-11-01,233912758.33333334
2005-12-01,119584125.0
2006-01-01,98491895.83333333
2006-02-01,76177691.66666667
2006-03-01,144172262.5
2006-04-01,224461054.16666666
2006-05-01,286389841.6666667
2006-06-01,254967912.5
2006-07-01,200464683.33333334
2006-08-01,151686695.83333334
2006-09-01,135778950.0
2006-10-01,201455745.83333334
2006-11-01,214976558.33333334
2006-12-01,141153854.16666666
2007-01-01,92077354.16666667
2007-02-01,50943404.166666664
2007-03-01,90761237.5
2007-04-01,175372912.5
2007-05-01,233418370.83333334
2007-06-01,251048920.83333334
2007-07-01,177256550.0
2007-08-01,197531587.5
2007-09-01,177360370.83333334
2007-10-01,243747650.0
2007-11-01,199788754.16666666
2007-12-01,158486937.5
2008-01-01,109311004.16666667
2008-02-01,106305858.33333333
2008-03-01,121424158.33333333
2008-04-01,134848091.66666666
2008-05-01,235488416.66666666
2008-06-01,276696712.5
2008-07-01,303842512.5
2008-08-01,234667433.33333334
2008-09-01,193547079.16666666
2008-10-01,225691395.83333334
2008-11-01,287659062.5
2008-12-01,161742383.33333334
2009-01-01,141683450.0
2009-02-01,110531375.0
2009-03-01,144651395.83333334
2009-04-01,169050900.0
2009-05-01,168751508.33333334
2009-06-01,193418325.0
2009-07-01,211861554.16666666
2009-08-01,186417370.83333334
2009-09-01,120065958.33333333
2009-10-01,133311537.5
2009-11-01,136357858.33333334
2009-12-01,81357779.16666667
2010-01-01,50899016.666666664
2010-02-01,46771112.5
2010-03-01,74935845.83333333
2010-04-01,145395837.5
2010-05-01,199747091.66666666
2010-06-01,226102666.66666666
2010-07-01,275701654.1666667
2010-08-01,195689033.33333334
2010-09-01,205658016.66666666
2010-10-01,209051879.16666666
2010-11-01,310121433.3333333
2010-12-01,239282883.33333334
2011-01-01,127149856.0
2011-02-01,111334684.0
2011-03-01,219935908.0
2011-04-01,390734852.0
2011-05-01,356421564.0
2011-06-01,274257600.0
2011-07-01,225647228.0
2011-08-01,196109760.0
2011-09-01,185397872.0
2011-10-01,261099484.0
2011-11-01,301793332.0
2011-12-01,290496748.0
2012-01-01,160228556.0
2012-02-01,103533872.0
2012-03-01,152233400.0
2012-04-01,297092576.0
2012-05-01,305047172.0
2012-06-01,196441060.0
2012-07-01,229270624.0
2012-08-01,219813780.0
2012-09-01,133640388.0
2012-10-01,181582540.0
2012-11-01,156006872.0
2012-12-01,118083832.0
2013-01-01,70305916.0
2013-02-01,91385276.0
2013-03-01,120747888.0
2013-04-01,123106244.0
2013-05-01,256239584.6153846
2013-06-01,169534166.66666666
2013-07-01,168674885.1851852
2013-08-01,206113081.4814815
2013-09-01,160531244.44444445
2013-10-01,155108111.1111111
2013-11-01,187335692.5925926
2013-12-01,161971311.1111111
2014-01-01,97730974.07407407
2014-02-01,93001029.62962963
2014-03-01,120774044.44444445
2014-04-01,124158751.85185185
2014-05-01,166065748.14814815
2014-06-01,234816766.66666666
2014-07-01,215490288.8888889
2014-08-01,167558100.0
2014-09-01,151518066.66666666
2014-10-01,177429022.2222222
2014-11-01,170572900.0
2014-12-01,131820250.0
2015-01-01,81665300.0
2015-02-01,92412296.42857143
2015-03-01,97378771.42857143
2015-04-01,160383621.42857143
2015-05-01,162513800.0
2015-06-01,249489292.85714287
2015-07-01,220674582.14285713
2015-08-01,196344525.0
2015-09-01,121928550.0
2015-10-01,109324596.42857143
2015-11-01,132404048.27586207
2015-12-01,80491793.10344827
2016-01-01,55029782.75862069
2016-02-01,53974844.827586204
2016-03-01,67571868.96551724
2016-04-01,139332875.86206895
2016-05-01,187114537.93103448
2016-06-01,174115472.41379312
2016-07-01,219736468.96551725
2016-08-01,170294227.58620688
2016-09-01,198621558.62068966
2016-10-01,180544693.10344827
2016-11-01,209504068.96551725
2016-12-01,172171706.89655173
2017-01-01,132002020.0
2017-02-01,75794516.66666667
2017-03-01,190642020.0
2017-04-01,166031210.0
2017-05-01,295530893.3333333
2017-06-01,241303000.0
2017-07-01,207064536.66666666
2017-08-01,159971870.0
2017-09-01,163123760.0
2017-10-01,152957996.66666666
2017-11-01,186798410.0
2017-12-01,128812700.0
2018-01-01,127093813.79310344
2018-02-01,79297979.31034483
2018-03-01,102193793.10344827
2018-04-01,236332703.44827586
2018-05-01,314187681.25
2018-06-01,256148437.5
2018-07-01,221605500.0
2018-08-01,177861309.375
2018-09-01,147155362.5
2018-10-01,181662915.625
2018-11-01,168933362.5
2018-12-01,92147306.25
2019-01-01,68026846.875
2019-02-01,64756871.875
2019-03-01,98043368.75
2019-04-01,170528184.375
2019-05-01,211985042.42424244
2019-06-01,232562327.27272728
2019-07-01,197745484.84848484
2019-08-01,140414509.0909091
2019-09-01,113981875.75757575
2019-10-01,151708582.3529412
2019-11-01,132145367.64705883
2019-12-01,99695694.11764705
2020-01-01,61932637.14285714
2020-02-01,52918722.85714286
2020-03-01,67500868.57142857
2020-04-01,87338954.28571428
2020-05-01,118486657.14285715
2020-06-01,155898182.85714287
2020-07-01,200495697.14285713
2020-08-01,135101417.14285713
2020-09-01,135846662.85714287
2020-10-01,124922897.14285715
2020-11-01,196913988.57142857
2020-12-01,114334577.14285715
2021-01-01,87481060.0
2021-02-01,71683225.71428572
2021-03-01,165929148.57142857
2021-04-01,159649297.14285713
2021-05-01,263397945.7142857
2021-06-01,276619002.9411765
2021-07-01,207846302.85714287
2021-08-01,196055728.57142857
2021-09-01,166314665.7142857
2021-10-01,180208354.2857143
2021-11-01,175981305.7142857
2021-12-01,106981208.57142857
2022-01-01,78859002.85714285
2022-02-01,83890337.14285715
2022-03-01,145324162.85714287
2022-04-01,196198938.2352941
2022-05-01,205758277.14285713
2022-06-01,242059988.57142857
2022-07-01,227685300.0
2022-08-01,206251402.94117647
2022-09-01,180035929.4117647
2022-10-01,273571685.71428573
2022-11-01,296728727.7777778
2022-12-01,176243033.33333334
2023-01-01,161215756.75675675
2023-02-01,91300945.94594595
2023-03-01,213179243.24324325
2023-04-01,200185418.9189189
2023-05-01,184011551.35135135
2023-06-01,190911951.35135135
2023-07-01,196113729.72972974
2023-08-01,154325213.5135135
2023-09-01,82775016.27906977
2023-10-01,107772927.90697674
2023-11-01,143010786.04651162
2023-12-01,84767102.3255814
2024-01-01,54029444.18604651
2024-02-01,54086372.093023255
2024-03-01,50664776.744186044
2024-04-01,92766734.88372093
2024-05-01,203075204.6511628
2024-06-01,229493634.88372093
2024-07-01,169111516.27906978
2024-08-01,105074211.62790698
2024-09-01,86082960.46511628
2024-10-01,111470995.34883721
2024-11-01,172028579.06976745
2024-12-01,105770760.46511628
