date,GeneracionHidraulica
2000-01-01,107311495.1738267
2000-02-01,97421258.93463415
2000-03-01,109618078.14779912
2000-04-01,102450329.68390056
2000-05-01,115637239.56105217
2000-06-01,115397458.73336014
2000-07-01,119986299.59718986
2000-08-01,109177678.3300732
2000-09-01,58791601.628260456
2000-10-01,49128878.95981437
2000-11-01,49978910.96638708
2000-12-01,54019557.470252104
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,41198067.69021517
2003-02-01,36949055.85396281
2003-03-01,41159353.96654171
2003-04-01,38276727.53087955
2003-05-01,40912319.89923213
2003-06-01,41682514.08205732
2003-07-01,45515000.32938164
2003-08-01,44593750.742650844
2003-09-01,42834771.06543339
2003-10-01,45158042.91867666
2003-11-01,44239174.04841397
2003-12-01,43310769.14105726
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,43313166.024376
2006-02-01,40686606.5835617
2006-03-01,39151888.46352185
2006-04-01,38620481.97861592
2006-05-01,41614460.92523032
2006-06-01,42610076.89165383
2006-07-01,44648801.37926017
2006-08-01,45485155.36710407
2006-09-01,39005324.38730943
2006-10-01,39853362.6038084
2006-11-01,38831188.487226665
2006-12-01,40184907.97065576
2007-01-01,39769410.63979679
2007-02-01,34435802.13736232
2007-03-01,36921889.802618265
2007-04-01,38337016.40402057
2007-05-01,41541851.892054945
2007-06-01,40415001.055926144
2007-07-01,42944772.22560797
2007-08-01,41520291.06261037
2007-09-01,42798912.879484996
2007-10-01,41846147.45986164
2007-11-01,43638977.69460169
2007-12-01,39939983.863742016
2008-01-01,39870747.391800575
2008-02-01,39985397.11426442
2008-03-01,38804838.98421566
2008-04-01,37951869.9000685
2008-05-01,38835902.44436022
2008-06-01,40641991.07584788
2008-07-01,43024098.34385188
2008-08-01,44489521.532511786
2008-09-01,44228732.054616906
2008-10-01,46944542.76694703
2008-11-01,44664640.17899266
2008-12-01,46209150.76590384
2009-01-01,45017635.70262242
2009-02-01,40117100.135050386
2009-03-01,42974181.527678505
2009-04-01,42298054.76667918
2009-05-01,44012229.17213817
2009-06-01,40637024.63559335
2009-07-01,39459524.262018286
2009-08-01,41258673.86777154
2009-09-01,38743582.219947115
2009-10-01,29904118.1770103
2009-11-01,31146436.396310784
2009-12-01,26317651.142581586
2010-01-01,23611837.391036086
2010-02-01,25921767.979421064
2010-03-01,32161930.27095231
2010-04-01,29295803.415573712
2010-05-01,34476845.33340473
2010-06-01,41736586.65652396
2010-07-01,44776228.994590715
2010-08-01,46542713.34637533
2010-09-01,44668047.70145764
2010-10-01,43283596.378153116
2010-11-01,43005310.88630462
2010-12-01,43443672.084656544
2011-01-01,38922170.92377048
2011-02-01,35427418.86828957
2011-03-01,41838396.96082128
2011-04-01,40133652.96377094
2011-05-01,43442772.63730873
2011-06-01,41344216.26362814
2011-07-01,42274533.42602724
2011-08-01,42149538.95326019
2011-09-01,41056400.085313536
2011-10-01,43276450.040174745
2011-11-01,44618229.65163604
2011-12-01,46213665.749682195
2012-01-01,46275177.330769174
2012-02-01,43953470.76800753
2012-03-01,45328375.98224438
2012-04-01,42559665.209979236
2012-05-01,47146360.71773939
2012-06-01,46291523.56511641
2012-07-01,44897788.364002734
2012-08-01,44490876.84871155
2012-09-01,41537347.35246627
2012-10-01,40328603.830269
2012-11-01,41031138.6905042
2012-12-01,36965655.02757219
2013-01-01,37143425.0952272
2013-02-01,32448471.622367136
2013-03-01,40048093.71363318
2013-04-01,36840119.310529776
2013-05-01,40472756.793155834
2013-06-01,39313681.83212039
2013-07-01,37462476.26764043
2013-08-01,39504289.0602762
2013-09-01,41199344.94751147
2013-10-01,38978626.85432525
2013-11-01,35348200.41963091
2013-12-01,38261545.534526356
2014-01-01,37631710.70499137
2014-02-01,35334551.08722919
2014-03-01,40469939.208465725
2014-04-01,35626907.49803955
2014-05-01,35943934.780570515
2014-06-01,34337080.52478047
2014-07-01,40156356.45609157
2014-08-01,40201603.942322984
2014-09-01,41721268.894896306
2014-10-01,39520705.91721481
2014-11-01,39483042.89149906
2014-12-01,39303709.51260438
2015-01-01,34597455.672326624
2015-02-01,35756357.531980366
2015-03-01,37635756.56060923
2015-04-01,36346008.33469738
2015-05-01,36544332.58712364
2015-06-01,34850819.82794922
2015-07-01,38084713.87682436
2015-08-01,40158752.86549582
2015-09-01,36335005.808282696
2015-10-01,31124846.84847536
2015-11-01,28592147.520320985
2015-12-01,30382761.747142117
2016-01-01,31965215.984515995
2016-02-01,32350020.504576836
2016-03-01,27100337.038941808
2016-04-01,32266350.086796228
2016-05-01,40592567.63020057
2016-06-01,39083379.16953623
2016-07-01,41445377.96083899
2016-08-01,43570280.47097146
2016-09-01,41784395.48044671
2016-10-01,39368439.67098043
2016-11-01,40618247.29601588
2016-12-01,42707716.24623869
2017-01-01,43354584.96684819
2017-02-01,39514744.553969994
2017-03-01,41929420.223196894
2017-04-01,42100853.62436582
2017-05-01,45551647.60177498
2017-06-01,43832883.95609705
2017-07-01,45382889.36679359
2017-08-01,45833008.40849878
2017-09-01,43073067.896275856
2017-10-01,41693591.065818615
2017-11-01,39875965.1286236
2017-12-01,42053390.46997587
2018-01-01,40028898.47683071
2018-02-01,34777297.09647177
2018-03-01,38739374.99225807
2018-04-01,40722348.923742644
2018-05-01,41107447.421912625
2018-06-01,39555555.67475097
2018-07-01,38459627.13636417
2018-08-01,38431498.489434674
2018-09-01,37592144.34861266
2018-10-01,37506417.92540597
2018-11-01,36732027.76491434
2018-12-01,32517459.743422702
2019-01-01,33717345.59390997
2019-02-01,31462020.567169797
2019-03-01,36527343.18391041
2019-04-01,37549790.51050651
2019-05-01,39550578.00944444
2019-06-01,39855251.126843356
2019-07-01,42538779.64918141
2019-08-01,42954213.32004776
2019-09-01,39635968.85161717
2019-10-01,37671635.6845426
2019-11-01,35748125.44794255
2019-12-01,34052670.37656854
2020-01-01,33159377.47541216
2020-02-01,30345330.709789686
2020-03-01,32003704.465865474
2020-04-01,28000435.780562215
2020-05-01,28943907.860069048
2020-06-01,27135087.780538373
2020-07-01,36284244.99815623
2020-08-01,36968771.48885439
2020-09-01,34419555.24926711
2020-10-01,36773142.456860445
2020-11-01,38959624.50986212
2020-12-01,37765160.39970708
2021-01-01,36633250.039919436
2021-02-01,30932290.459679853
2021-03-01,37159749.98343974
2021-04-01,36210474.94868087
2021-05-01,39503598.53327414
2021-06-01,39984389.98437115
2021-07-01,41150737.447529435
2021-08-01,42175395.7905767
2021-09-01,44139017.314551026
2021-10-01,44453518.17789787
2021-11-01,42332052.27034895
2021-12-01,38764586.89700705
2022-01-01,37893698.6296845
2022-02-01,34965668.39381396
2022-03-01,42145680.07361811
2022-04-01,42057526.31703536
2022-05-01,42804101.30883521
2022-06-01,39933868.909433976
2022-07-01,40958075.74933279
2022-08-01,42415534.08195455
2022-09-01,42020613.2955871
2022-10-01,44415070.46608281
2022-11-01,42745159.106935
2022-12-01,41812668.49558652
2023-01-01,42787116.70914598
2023-02-01,38521286.797625296
2023-03-01,42508660.52928167
2023-04-01,41572064.87209729
2023-05-01,38538675.4990202
2023-06-01,37125084.478499256
2023-07-01,37351052.17016388
2023-08-01,39288932.87814261
2023-09-01,36330613.03686647
2023-10-01,32947917.20003085
2023-11-01,38727436.58283244
2023-12-01,33036929.91559333
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,0.0
2024-12-01,0.0
