date,Generacion,GeneracionHidraulica,GeneracionTermica
2000-01-01,79443952.64128096,107311495.1738267,59490177.695303895
2000-02-01,71462422.51085971,97421258.93463415,53173349.93948574
2000-03-01,83868386.83170825,109618078.14779912,65606811.92319627
2000-04-01,75083747.29143034,102450329.68390056,53564198.61347825
2000-05-01,87221263.57411297,115637239.56105217,61313891.90645225
2000-06-01,85245094.55369109,115397458.73336014,57267450.65445591
2000-07-01,87935321.4938632,119986299.59718986,53253076.34547821
2000-08-01,78139988.56660193,109177678.3300732,50670858.3492778
2000-09-01,54139202.552368894,58791601.628260456,53315957.55315755
2000-10-01,49151824.629552014,49128878.95981437,59388272.471289024
2000-11-01,48445480.87118177,49978910.96638708,54720035.60979171
2000-12-01,52062902.03659903,54019557.470252104,57333048.14763603
2001-01-01,46920231.4347411,0.0,0.0
2001-02-01,43313106.34452673,0.0,0.0
2001-03-01,48212617.110634476,0.0,0.0
2001-04-01,47181073.12719738,0.0,0.0
2001-05-01,50069799.671105966,0.0,0.0
2001-06-01,47633469.32301745,0.0,0.0
2001-07-01,50467797.50828978,0.0,0.0
2001-08-01,53344853.18833672,0.0,0.0
2001-09-01,51986664.38196768,0.0,0.0
2001-10-01,50031816.43404259,0.0,0.0
2001-11-01,46798730.100834556,0.0,0.0
2001-12-01,52946841.60808368,0.0,0.0
2002-01-01,49489199.693090156,0.0,0.0
2002-02-01,42726326.63502774,0.0,0.0
2002-03-01,45091855.041002035,0.0,0.0
2002-04-01,44049661.11072988,0.0,0.0
2002-05-01,47518156.72327531,0.0,0.0
2002-06-01,45121619.44879084,0.0,0.0
2002-07-01,48117223.41523231,0.0,0.0
2002-08-01,49440084.67609015,0.0,0.0
2002-09-01,49669411.253675565,0.0,0.0
2002-10-01,47633618.88722394,0.0,0.0
2002-11-01,47150047.82503939,0.0,0.0
2002-12-01,46889510.89523889,0.0,0.0
2003-01-01,45349518.81938225,41198067.69021517,78986221.02989098
2003-02-01,39982495.08035654,36949055.85396281,64121787.88149573
2003-03-01,46367282.77054082,41159353.96654171,83467590.67849764
2003-04-01,41915778.5574841,38276727.53087955,68339893.06415011
2003-05-01,43434320.280840956,40912319.89923213,71511899.29094589
2003-06-01,43633642.45743408,41682514.08205732,77833322.86621429
2003-07-01,46129474.657426365,45515000.32938164,72166502.55314682
2003-08-01,45176151.703739166,44593750.742650844,65391546.19513678
2003-09-01,44637753.593820326,42834771.06543339,71079015.51968218
2003-10-01,46488152.114448324,45158042.91867666,80036737.83135751
2003-11-01,45010543.605639726,44239174.04841397,69905138.14471401
2003-12-01,44374918.109086834,43310769.14105726,72459140.34876765
2004-01-01,43037451.35022975,0.0,0.0
2004-02-01,40373189.67058291,0.0,0.0
2004-03-01,40796692.43583414,0.0,0.0
2004-04-01,40962694.29143603,0.0,0.0
2004-05-01,39697597.98362317,0.0,0.0
2004-06-01,38393399.17724832,0.0,0.0
2004-07-01,40724640.72159906,0.0,0.0
2004-08-01,40886901.41324071,0.0,0.0
2004-09-01,36993533.21047563,0.0,0.0
2004-10-01,39830920.01749889,0.0,0.0
2004-11-01,38484539.48741159,0.0,0.0
2004-12-01,40280509.693213575,0.0,0.0
2005-01-01,39289692.995261505,0.0,0.0
2005-02-01,37175707.93312317,0.0,0.0
2005-03-01,40586425.25204875,0.0,0.0
2005-04-01,39111120.25242765,0.0,0.0
2005-05-01,40991219.49293086,0.0,0.0
2005-06-01,39026048.386285655,0.0,0.0
2005-07-01,40643264.013785236,0.0,0.0
2005-08-01,40910593.277505845,0.0,0.0
2005-09-01,38364824.413661085,0.0,0.0
2005-10-01,39406346.13845498,0.0,0.0
2005-11-01,40047815.988666646,0.0,0.0
2005-12-01,40922541.242231876,0.0,0.0
2006-01-01,42110645.572695576,43313166.024376,59922718.42628477
2006-02-01,40375978.19047724,40686606.5835617,75054219.80646934
2006-03-01,40610736.31386347,39151888.46352185,74505432.02322227
2006-04-01,39286271.25672677,38620481.97861592,76693016.31188512
2006-05-01,41171250.24930809,41614460.92523032,62892472.00284479
2006-06-01,41307739.42198296,42610076.89165383,58656961.31350794
2006-07-01,43173032.325065546,44648801.37926017,66148545.2228797
2006-08-01,45130419.145698115,45485155.36710407,73260218.91788475
2006-09-01,40547460.11342457,39005324.38730943,73516751.5501954
2006-10-01,41925388.0150905,39853362.6038084,76712121.7260795
2006-11-01,39520888.90482363,38831188.487226665,65274884.103528455
2006-12-01,39689821.34688913,40184907.97065576,58439166.09991572
2007-01-01,40813464.77101332,39769410.63979679,70932919.3788097
2007-02-01,37535637.45442569,34435802.13736232,78654682.02357702
2007-03-01,40302530.46863145,36921889.802618265,78998307.31230444
2007-04-01,38178509.51804348,38337016.40402057,61004263.56146805
2007-05-01,40749240.139436156,41541851.892054945,60890266.46868348
2007-06-01,39492066.264971115,40415001.055926144,65772472.4326666
2007-07-01,42760536.43676029,42944772.22560797,90387275.82935159
2007-08-01,41449392.47016934,41520291.06261037,74162950.34166539
2007-09-01,40704491.74234333,42798912.879484996,58268065.897798896
2007-10-01,40457917.59234882,41846147.45986164,62295178.63462009
2007-11-01,40308723.117787555,43638977.69460169,39033036.08812121
2007-12-01,39775963.5088293,39939983.863742016,66519147.34761336
2008-01-01,41007253.07528268,39870747.391800575,84768429.28343923
2008-02-01,39056532.95784745,39985397.11426442,60454240.660443276
2008-03-01,38204904.02136134,38804838.98421566,59848710.976512715
2008-04-01,38810187.168544024,37951869.9000685,64466760.6104907
2008-05-01,39804810.595037006,38835902.44436022,59783400.88173773
2008-06-01,38691036.9552063,40641991.07584788,52174495.28140386
2008-07-01,40389802.238538995,43024098.34385188,51195158.39190557
2008-08-01,40796622.4167515,44489521.532511786,40887201.32649701
2008-09-01,41369926.99385895,44228732.054616906,42820811.99172894
2008-10-01,45127455.220888376,46944542.76694703,50478800.54391849
2008-11-01,41594205.7918097,44664640.17899266,44698603.74573646
2008-12-01,43007856.35981302,46209150.76590384,46825295.8332323
2009-01-01,42170730.36317943,45017635.70262242,47193973.72343284
2009-02-01,38316589.711482696,40117100.135050386,50112190.60443866
2009-03-01,41314905.688754104,42974181.527678505,53447750.68172024
2009-04-01,40655787.66627734,42298054.76667918,53606260.60963308
2009-05-01,44125951.21399858,44012229.17213817,68667803.44239837
2009-06-01,41047499.56877558,40637024.63559335,65797024.38966767
2009-07-01,40914997.7894094,39459524.262018286,71944486.63023794
2009-08-01,43133083.79567131,41258673.86777154,77103688.64002585
2009-09-01,42651785.18387335,38743582.219947115,79953863.8503897
2009-10-01,38279236.4167818,29904118.1770103,75474902.00135724
2009-11-01,37843618.71442281,31146436.396310784,74946905.4994393
2009-12-01,37161865.75839637,26317651.142581586,80786636.98746611
2010-01-01,36463928.94238167,23611837.391036086,88616798.62483677
2010-02-01,34667958.53781055,25921767.979421064,75739142.79600061
2010-03-01,39485248.90573375,32161930.27095231,79821203.73023675
2010-04-01,36625616.67907272,29295803.415573712,79566757.19861555
2010-05-01,39728728.43206745,34476845.33340473,82209254.96038811
2010-06-01,38924333.618703134,41736586.65652396,53061181.619003035
2010-07-01,40886448.18411302,44776228.994590715,51646617.863570414
2010-08-01,42392030.95433128,46542713.34637533,53322888.96804093
2010-09-01,40894440.15790668,44668047.70145764,52092839.84320059
2010-10-01,40926403.425268285,43283596.378153116,57044457.93163076
2010-11-01,40532403.00077394,43005310.88630462,52299476.73503548
2010-12-01,41749327.76551224,43443672.084656544,60995035.98047804
2011-01-01,37630086.41402818,38922170.92377048,54862243.415839575
2011-02-01,33822339.71730294,35427418.86828957,49833352.05800145
2011-03-01,38591178.97237477,41838396.96082128,49159143.62589849
2011-04-01,36676053.185222,40133652.96377094,43646849.81236077
2011-05-01,39238988.68685588,43442772.63730873,42671789.354518965
2011-06-01,38061682.705731615,41344216.26362814,46682660.476488926
2011-07-01,38705081.97378899,42274533.42602724,49407762.838635825
2011-08-01,38638948.71749316,42149538.95326019,49281801.23352655
2011-09-01,37853409.88540409,41056400.085313536,50327296.55907215
2011-10-01,39889917.50076206,43276450.040174745,53568663.63921226
2011-11-01,41184799.996198975,44618229.65163604,53156615.560900465
2011-12-01,42709573.59008504,46213665.749682195,56553343.65384709
2012-01-01,42702839.09231439,46275177.330769174,58325777.57315192
2012-02-01,39785761.60906635,43953470.76800753,45771127.62865114
2012-03-01,42472436.63123662,45328375.98224438,58221898.005475275
2012-04-01,39948556.42061482,42559665.209979236,50926348.05851529
2012-05-01,44572502.0162009,47146360.71773939,50032064.88752731
2012-06-01,42972340.05699884,46291523.56511641,54661545.68049291
2012-07-01,43433372.16094703,44897788.364002734,74559721.91400957
2012-08-01,42997013.94958071,44490876.84871155,66215969.800950624
2012-09-01,42242949.33747635,41537347.35246627,71117557.2966675
2012-10-01,41190398.528490916,40328603.830269,68334980.23205808
2012-11-01,42970788.48155701,41031138.6905042,72319506.96289062
2012-12-01,39480145.78852772,36965655.02757219,69086555.43677768
2013-01-01,40910212.7956818,37143425.0952272,76416990.81038602
2013-02-01,35863246.47380136,32448471.622367136,66269316.95178766
2013-03-01,40545400.37428475,40048093.71363318,60074067.00840373
2013-04-01,40324301.46790067,36840119.310529776,71203710.68605104
2013-05-01,41394356.87149614,40472756.793155834,61114706.13575193
2013-06-01,39721480.274916254,39313681.83212039,63077691.88436568
2013-07-01,41150234.013343856,37462476.26764043,79016954.81725858
2013-08-01,40781897.25287359,39504289.0602762,69464814.24752933
2013-09-01,40474411.22215691,41199344.94751147,62637625.37575997
2013-10-01,40133508.10917262,38978626.85432525,67852843.16957402
2013-11-01,38564490.180717126,35348200.41963091,73808926.4224325
2013-12-01,40510965.44137835,38261545.534526356,78082475.75842872
2014-01-01,40530975.607723296,37631710.70499137,77839983.81285825
2014-02-01,37857752.48172712,35334551.08722919,71041561.98464976
2014-03-01,41458935.282809965,40469939.208465725,75022390.68160705
2014-04-01,39488244.71694884,35626907.49803955,76816146.3894036
2014-05-01,41412669.64516728,35943934.780570515,78122417.2343736
2014-06-01,39310545.59723005,34337080.52478047,81427521.68105918
2014-07-01,42256602.171774216,40156356.45609157,77572951.98220256
2014-08-01,41543346.54112109,40201603.942322984,70097419.20127867
2014-09-01,41426753.101160176,41721268.894896306,62577614.21418849
2014-10-01,41383234.01440009,39520705.91721481,76228574.61398691
2014-11-01,41052161.28010858,39483042.89149906,75132127.1111726
2014-12-01,41217659.55746713,39303709.51260438,75326235.94242896
2015-01-01,38016812.20726753,34597455.672326624,73546688.6345813
2015-02-01,36183130.05869004,35756357.531980366,61781321.88472623
2015-03-01,39443270.97468688,37635756.56060923,72462406.20182924
2015-04-01,36675880.451129965,36346008.33469738,61357087.739908904
2015-05-01,38762764.53727441,36544332.58712364,63924361.140211776
2015-06-01,35300444.28478435,34850819.82794922,52041190.953237735
2015-07-01,38400259.5256961,38084713.87682436,59194371.57842852
2015-08-01,39880995.427055426,40158752.86549582,62332725.49053279
2015-09-01,38361375.43323603,36335005.808282696,62567166.67288277
2015-10-01,37064678.5737769,31124846.84847536,65364040.059550926
2015-11-01,34970744.71089428,28592147.520320985,65346751.22674591
2015-12-01,37866657.95432758,30382761.747142117,70052679.23581135
2016-01-01,41675054.15811313,31965215.984515995,82097401.1305896
2016-02-01,39545578.762155555,32350020.504576836,69686080.69219337
2016-03-01,36621750.44322143,27100337.038941808,67633090.88932644
2016-04-01,35058584.68039097,32266350.086796228,53669667.87055221
2016-05-01,38258186.27241305,40592567.63020057,43861519.20167166
2016-06-01,36974983.87233727,39083379.16953623,44408432.473325714
2016-07-01,38168115.92293553,41445377.96083899,41254095.45543437
2016-08-01,40041816.08296719,43570280.47097146,43049393.814248346
2016-09-01,37514011.132332586,41784395.48044671,36262943.95609614
2016-10-01,36852832.39660979,39368439.67098043,40629661.78258337
2016-11-01,37268509.668652244,40618247.29601588,37968753.96766479
2016-12-01,38804870.96916623,42707716.24623869,36299310.06489683
2017-01-01,38865954.12573816,43354584.96684819,33426783.102193102
2017-02-01,36281401.211569406,39514744.553969994,36976471.12933435
2017-03-01,37670127.14613972,41929420.223196894,34552803.29866721
2017-04-01,36949179.07145164,42100853.62436582,31620808.79744609
2017-05-01,40188747.6841207,45551647.60177498,30185260.12772939
2017-06-01,38104010.68258133,43832883.95609705,28371833.76701199
2017-07-01,39554745.431744225,45382889.36679359,29517441.70795794
2017-08-01,39953640.071873404,45833008.40849878,33049449.96204791
2017-09-01,38112835.84412338,43073067.896275856,35920430.87063992
2017-10-01,37529813.412745774,41693591.065818615,36742099.96430939
