date,GeneracionTermica
2000-01-01,59490177.695303895
2000-02-01,53173349.93948574
2000-03-01,65606811.92319627
2000-04-01,53564198.61347825
2000-05-01,61313891.90645225
2000-06-01,57267450.65445591
2000-07-01,53253076.34547821
2000-08-01,50670858.3492778
2000-09-01,53315957.55315755
2000-10-01,59388272.471289024
2000-11-01,54720035.60979171
2000-12-01,57333048.14763603
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,78986221.02989098
2003-02-01,64121787.88149573
2003-03-01,83467590.67849764
2003-04-01,68339893.06415011
2003-05-01,71511899.29094589
2003-06-01,77833322.86621429
2003-07-01,72166502.55314682
2003-08-01,65391546.19513678
2003-09-01,71079015.51968218
2003-10-01,80036737.83135751
2003-11-01,69905138.14471401
2003-12-01,72459140.34876765
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,59922718.42628477
2006-02-01,75054219.80646934
2006-03-01,74505432.02322227
2006-04-01,76693016.31188512
2006-05-01,62892472.00284479
2006-06-01,58656961.31350794
2006-07-01,66148545.2228797
2006-08-01,73260218.91788475
2006-09-01,73516751.5501954
2006-10-01,76712121.7260795
2006-11-01,65274884.103528455
2006-12-01,58439166.09991572
2007-01-01,70932919.3788097
2007-02-01,78654682.02357702
2007-03-01,78998307.31230444
2007-04-01,61004263.56146805
2007-05-01,60890266.46868348
2007-06-01,65772472.4326666
2007-07-01,90387275.82935159
2007-08-01,74162950.34166539
2007-09-01,58268065.897798896
2007-10-01,62295178.63462009
2007-11-01,39033036.08812121
2007-12-01,66519147.34761336
2008-01-01,84768429.28343923
2008-02-01,60454240.660443276
2008-03-01,59848710.976512715
2008-04-01,64466760.6104907
2008-05-01,59783400.88173773
2008-06-01,52174495.28140386
2008-07-01,51195158.39190557
2008-08-01,40887201.32649701
2008-09-01,42820811.99172894
2008-10-01,50478800.54391849
2008-11-01,44698603.74573646
2008-12-01,46825295.8332323
2009-01-01,47193973.72343284
2009-02-01,50112190.60443866
2009-03-01,53447750.68172024
2009-04-01,53606260.60963308
2009-05-01,68667803.44239837
2009-06-01,65797024.38966767
2009-07-01,71944486.63023794
2009-08-01,77103688.64002585
2009-09-01,79953863.8503897
2009-10-01,75474902.00135724
