date,Generacion
2000-01-01,79443952.64128096
2000-02-01,71462422.51085971
2000-03-01,83868386.83170825
2000-04-01,75083747.29143034
2000-05-01,87221263.57411297
2000-06-01,85245094.55369109
2000-07-01,87935321.4938632
2000-08-01,78139988.56660193
2000-09-01,54139202.552368894
2000-10-01,49151824.629552014
2000-11-01,48445480.87118177
2000-12-01,52062902.03659903
2001-01-01,46920231.4347411
2001-02-01,43313106.34452673
2001-03-01,48212617.110634476
2001-04-01,47181073.12719738
2001-05-01,50069799.671105966
2001-06-01,47633469.32301745
2001-07-01,50467797.50828978
2001-08-01,53344853.18833672
2001-09-01,51986664.38196768
2001-10-01,50031816.43404259
2001-11-01,46798730.100834556
2001-12-01,52946841.60808368
2002-01-01,49489199.693090156
2002-02-01,42726326.63502774
2002-03-01,45091855.041002035
2002-04-01,44049661.11072988
2002-05-01,47518156.72327531
2002-06-01,45121619.44879084
2002-07-01,48117223.41523231
2002-08-01,49440084.67609015
2002-09-01,49669411.253675565
2002-10-01,47633618.88722394
2002-11-01,47150047.82503939
2002-12-01,46889510.89523889
2003-01-01,45349518.81938225
2003-02-01,39982495.08035654
2003-03-01,46367282.77054082
2003-04-01,41915778.5574841
2003-05-01,43434320.280840956
2003-06-01,43633642.45743408
2003-07-01,46129474.657426365
2003-08-01,45176151.703739166
2003-09-01,44637753.593820326
2003-10-01,46488152.114448324
2003-11-01,45010543.605639726
2003-12-01,44374918.109086834
2004-01-01,43037451.35022975
2004-02-01,40373189.67058291
2004-03-01,40796692.43583414
2004-04-01,40962694.29143603
2004-05-01,39697597.98362317
2004-06-01,38393399.17724832
2004-07-01,40724640.72159906
2004-08-01,40886901.41324071
2004-09-01,36993533.21047563
2004-10-01,39830920.01749889
2004-11-01,38484539.48741159
2004-12-01,40280509.693213575
2005-01-01,39289692.995261505
2005-02-01,37175707.93312317
2005-03-01,40586425.25204875
2005-04-01,39111120.25242765
2005-05-01,40991219.49293086
2005-06-01,39026048.386285655
2005-07-01,40643264.013785236
2005-08-01,40910593.277505845
2005-09-01,38364824.413661085
2005-10-01,39406346.13845498
2005-11-01,40047815.988666646
2005-12-01,40922541.242231876
2006-01-01,42110645.572695576
2006-02-01,40375978.19047724
2006-03-01,40610736.31386347
2006-04-01,39286271.25672677
2006-05-01,41171250.24930809
2006-06-01,41307739.42198296
2006-07-01,43173032.325065546
2006-08-01,45130419.145698115
2006-09-01,40547460.11342457
2006-10-01,41925388.0150905
2006-11-01,39520888.90482363
2006-12-01,39689821.34688913
2007-01-01,40813464.77101332
2007-02-01,37535637.45442569
2007-03-01,40302530.46863145
2007-04-01,38178509.51804348
2007-05-01,40749240.139436156
2007-06-01,39492066.264971115
2007-07-01,42760536.43676029
2007-08-01,41449392.47016934
2007-09-01,40704491.74234333
2007-10-01,40457917.59234882
2007-11-01,40308723.117787555
2007-12-01,39775963.5088293
2008-01-01,41007253.07528268
2008-02-01,39056532.95784745
2008-03-01,38204904.02136134
2008-04-01,38810187.168544024
2008-05-01,39804810.595037006
2008-06-01,38691036.9552063
2008-07-01,40389802.238538995
2008-08-01,40796622.4167515
2008-09-01,41369926.99385895
2008-10-01,45127455.220888376
2008-11-01,41594205.7918097
2008-12-01,43007856.35981302
2009-01-01,42170730.36317943
2009-02-01,38316589.711482696
2009-03-01,41314905.688754104
2009-04-01,40655787.66627734
2009-05-01,44125951.21399858
2009-06-01,41047499.56877558
2009-07-01,40914997.7894094
2009-08-01,43133083.79567131
2009-09-01,42651785.18387335
2009-10-01,38279236.4167818
2009-11-01,37843618.71442281
2009-12-01,37161865.75839637
2010-01-01,36463928.94238167
2010-02-01,34667958.53781055
2010-03-01,39485248.90573375
2010-04-01,36625616.67907272
2010-05-01,39728728.43206745
2010-06-01,38924333.618703134
2010-07-01,40886448.18411302
2010-08-01,42392030.95433128
2010-09-01,40894440.15790668
2010-10-01,40926403.425268285
2010-11-01,40532403.00077394
2010-12-01,41749327.76551224
2011-01-01,37630086.41402818
2011-02-01,33822339.71730294
2011-03-01,38591178.97237477
2011-04-01,36676053.185222
2011-05-01,39238988.68685588
2011-06-01,38061682.705731615
2011-07-01,38705081.97378899
2011-08-01,38638948.71749316
